"Rank","Player","Team","Position","Points","Games","Avg"
"344","Vance McDonald","PIT","TE","38.8","10","3.9"
"345","Travaris Cadet","BUF","RB","37.5","7","5.4"
"346","Eli Rogers","PIT","WR","36.9","12","3.1"
"347","Ryan Griffin","HOU","TE","36.8","6","6.1"
"348","Levine Toilolo","DET","TE","36.2","10","3.6"
"349","Alex Erickson","CIN","WR","35.6","16","2.2"
"350","Jeff Heuerman","DEN","TE","35.2","10","3.5"
"351","James O'Shaughnessy","JAC","TE","34.9","15","2.3"
"352","Richard Rodgers","PHI","TE","34.0","9","3.8"
"352","T.J. Yates","FA","QB","34.0","4","8.5"
"353","Kevin Hogan","WAS","QB","33.8","4","8.5"
"353","Nick Foles","PHI","QB","33.8","7","4.8"
"354","Damiere Byrd","CAR","WR","33.7","8","4.2"
"355","Mike Glennon","ARI","QB","33.6","4","8.4"
"356","Brandon Marshall","SEA","WR","33.4","5","6.7"
"357","Curtis Samuel","CAR","WR","32.9","8","4.1"
"358","Elijhaa Penny","ARI","RB","32.2","10","3.2"
"358","D.J. Foster","ARI","RB","32.2","7","4.6"
"359","Phillip Dorsett","NE","WR","32.1","10","3.2"
"360","Thomas Rawls","NYJ","RB","32.1","9","3.6"
"361","Brent Celek","FA","TE","32.0","12","2.7"
"362","Tion Green","FA","RB","31.9","5","6.4"
"363","Nick Vannett","SEA","TE","30.4","10","3.0"
"364","Troy Niklas","FA","TE","30.2","11","2.7"
"365","Josh Hill","NO","TE","29.7","10","3.0"
"366","Nick Folk","FA","K","29.0","4","7.3"
"367","Tommy Bohanon","JAC","RB","28.8","12","2.4"
"368","Anthony Fasano","FA","TE","28.7","9","3.2"
"369","Eddie Lacy","FA","RB","28.6","9","3.2"
"370","Chris Conley","KC","WR","28.5","5","5.7"
"371","Kamar Aiken","PHI","WR","28.3","13","2.2"
"372","Maxx Williams","BAL","TE","28.2","9","3.1"
"373","Terrance West","FA","RB","28.1","5","5.6"
"374","Josh Reynolds","LAR","WR","27.4","10","2.7"
"375","Jordan Taylor","DEN","WR","27.2","10","2.7"
"376","Tommylee Lewis","NO","WR","27.0","14","1.9"
"377","Travis Coons","FA","K","27.0","3","9.0"
"378","Sam Bradford","ARI","QB","26.9","2","13.5"
"379","C.J. Fiedorowicz","FA","TE","26.7","5","5.3"
